domain,url,status
honorhealth.avature.net,https://honorhealth.avature.net/careers/SearchJobs,not_valid
twosigma.avature.net,https://twosigma.avature.net/careers/SearchJobs,not_valid
cfafranchise.avature.net,https://cfafranchise.avature.net/careers/SearchJobs,not_valid
dttl.avature.net,https://dttl.avature.net/careers/SearchJobs,not_valid
bbw.avature.net,https://bbw.avature.net/careers/SearchJobs,not_valid
kronos.avature.net,https://kronos.avature.net/careers/SearchJobs,not_valid
linkedin.avature.net,https://linkedin.avature.net/careers/SearchJobs,not_valid
pepsicoglobalpontoon.avature.net,https://pepsicoglobalpontoon.avature.net/careers/SearchJobs,not_valid
bradyplus.avature.net,https://bradyplus.avature.net/careers/SearchJobs,not_valid
sandboxrl.avature.net,https://sandboxrl.avature.net/careers/SearchJobs,not_valid
pepsicoglobal.avature.net,https://pepsicoglobal.avature.net/careers/SearchJobs,not_valid
progressive.avature.net,https://progressive.avature.net/careers/SearchJobs,not_valid
forvis.avature.net,https://forvis.avature.net/careers/SearchJobs,not_valid
target.avature.net,https://target.avature.net/careers/SearchJobs,not_valid
hitachienergy.avature.net,https://hitachienergy.avature.net/careers/SearchJobs,not_valid
avanadeta.avature.net,https://avanadeta.avature.net/careers/SearchJobs,not_valid
bellflight.avature.net,https://bellflight.avature.net/careers/SearchJobs,not_valid
oracle.avature.net,https://oracle.avature.net/careers/SearchJobs,not_valid
fpmgs.avature.net,https://fpmgs.avature.net/careers/SearchJobs,not_valid
globalcxaccenture.avature.net,https://globalcxaccenture.avature.net/careers/SearchJobs,not_valid
novonordisk.avature.net,https://novonordisk.avature.net/careers/SearchJobs,not_valid
belk.avature.net,https://belk.avature.net/careers/SearchJobs,not_valid
